"Time","Air Temperature"
"01/01/2023, 00:00:00",7.26 °C
"01/01/2023, 00:10:00",7.23 °C
"01/01/2023, 00:20:00",7.15 °C
"01/01/2023, 00:30:00",7.28 °C
"01/01/2023, 00:40:00",7.49 °C
"01/01/2023, 00:50:00",7.61 °C
"01/01/2023, 01:00:00",7.53 °C
"01/01/2023, 01:10:00",7.49 °C
"01/01/2023, 01:20:00",7.42 °C
"01/01/2023, 01:30:00",7.43 °C
"01/01/2023, 01:40:00",7.11 °C
"01/01/2023, 01:50:00",6.91 °C
"01/01/2023, 02:00:00",6.83 °C
"01/01/2023, 02:10:00",6.72 °C
"01/01/2023, 02:20:00",6.71 °C
"01/01/2023, 02:30:00",6.62 °C
"01/01/2023, 02:40:00",6.57 °C
"01/01/2023, 02:50:00",6.58 °C
"01/01/2023, 03:00:00",6.75 °C
"01/01/2023, 03:10:00",6.82 °C
"01/01/2023, 03:20:00",6.83 °C
"01/01/2023, 03:30:00",6.76 °C
"01/01/2023, 03:40:00",6.81 °C
"01/01/2023, 03:50:00",6.81 °C
"01/01/2023, 04:00:00",6.79 °C
"01/01/2023, 04:10:00",6.72 °C
"01/01/2023, 04:20:00",6.57 °C
"01/01/2023, 04:30:00",6.58 °C
"01/01/2023, 04:40:00",6.61 °C
"01/01/2023, 04:50:00",6.79 °C
"01/01/2023, 05:00:00",6.87 °C
"01/01/2023, 05:10:00",6.94 °C
"01/01/2023, 05:20:00",7.00 °C
"01/01/2023, 05:30:00",6.95 °C
"01/01/2023, 05:40:00",6.64 °C
"01/01/2023, 05:50:00",6.41 °C
"01/01/2023, 06:00:00",6.37 °C
"01/01/2023, 06:10:00",6.36 °C
"01/01/2023, 06:20:00",6.46 °C
"01/01/2023, 06:30:00",6.34 °C
"01/01/2023, 06:40:00",6.24 °C
"01/01/2023, 06:50:00",6.11 °C
"01/01/2023, 07:00:00",6.16 °C
"01/01/2023, 07:10:00",6.17 °C
"01/01/2023, 07:20:00",6.20 °C
"01/01/2023, 07:30:00",6.14 °C
"01/01/2023, 07:40:00",6.14 °C
