"Time","Total irradiance"
"01/01/2024, 00:00:00",0
"01/01/2024, 00:10:00",1
"01/01/2024, 00:20:00",0
"01/01/2024, 00:30:00",0
"01/01/2024, 00:40:00",0
"01/01/2024, 00:50:00",0
"01/01/2024, 01:00:00",0
"01/01/2024, 01:10:00",0
"01/01/2024, 01:20:00",0
"01/01/2024, 01:30:00",0
"01/01/2024, 01:40:00",0
"01/01/2024, 01:50:00",1
"01/01/2024, 02:00:00",1
"01/01/2024, 02:10:00",0
"01/01/2024, 02:20:00",0
"01/01/2024, 02:30:00",1
"01/01/2024, 02:40:00",0
"01/01/2024, 02:50:00",0
"01/01/2024, 03:00:00",0
"01/01/2024, 03:10:00",0
"01/01/2024, 03:20:00",0
"01/01/2024, 03:30:00",0
"01/01/2024, 03:40:00",0
"01/01/2024, 03:50:00",0
"01/01/2024, 04:00:00",0
"01/01/2024, 04:10:00",1
"01/01/2024, 04:20:00",1
"01/01/2024, 04:30:00",1
"01/01/2024, 04:40:00",1
"01/01/2024, 04:50:00",1
"01/01/2024, 05:00:00",2
"01/01/2024, 05:10:00",1
"01/01/2024, 05:20:00",0
"01/01/2024, 05:30:00",0
"01/01/2024, 05:40:00",0
"01/01/2024, 05:50:00",0
"01/01/2024, 06:00:00",0
"01/01/2024, 06:10:00",0
"01/01/2024, 06:20:00",0
"01/01/2024, 06:30:00",0
"01/01/2024, 06:40:00",0
"01/01/2024, 06:50:00",0
"01/01/2024, 07:00:00",0
"01/01/2024, 07:10:00",0
"01/01/2024, 07:20:00",0
"01/01/2024, 07:30:00",0
"01/01/2024, 07:40:00",0
"01/01/2024, 07:50:00",0
"01/01/2024, 08:00:00",0
"01/01/2024, 08:10:00",0
"01/01/2024, 08:20:00",0
"01/01/2024, 08:30:00",1
"01/01/2024, 08:40:00",3
"01/01/2024, 08:50:00",6
"01/01/2024, 09:00:00",13
"01/01/2024, 09:10:00",19
"01/01/2024, 09:20:00",15
"01/01/2024, 09:30:00",22
"01/01/2024, 09:40:00",34
"01/01/2024, 09:50:00",47
"01/01/2024, 10:00:00",56
"01/01/2024, 10:10:00",69
"01/01/2024, 10:20:00",68
"01/01/2024, 10:30:00",128
"01/01/2024, 10:40:00",172
"01/01/2024, 10:50:00",168
"01/01/2024, 11:00:00",93
"01/01/2024, 11:10:00",98
"01/01/2024, 11:20:00",246
"01/01/2024, 11:30:00",228
"01/01/2024, 11:40:00",199
"01/01/2024, 11:50:00",202
"01/01/2024, 12:00:00",192
